File Name,Record Number,NARA Release Date,Formerly Withheld,Agency,Document Date,Document Type,File Number,To Name,From Name,Title,Number of Pages,Originator,Record Series,Review Date,Comments,Pages Released,URL
2018/104-10331-10335.pdf,104-10331-10335,04/26/2018,Redact,CIA,4/2/96,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,NOTE TO:  HRG/DO JFK REVIEWERS,BARRY HARRELSON,NOTE: ARRB RELEASES,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.08:32:40:890054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10335.pdf
2018/104-10331-10338.pdf,104-10331-10338,04/26/2018,Redact,CIA,02/26/1997,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,"JOHN PEREIRA, C/HRG",BARRY HARRELSON,MEMO: CIA EMPLOYEES NAMES IN JFK RECORDS,15,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.10:05:34:043054 : 3 PG MEMO W/ATTS,15,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10338.pdf
2018/104-10331-10342.pdf,104-10331-10342,04/26/2018,Redact,CIA,06/27/1994,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,GLORIA M. BOYD,WITHHELD,MEMO: JFK DATABASE EXTRACT FOR NARA,1,CIA,JFK,3/12/18,JFK-M-16 : F3 : 2000.02.14.10:55:45:560044 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10342.pdf
2018/104-10331-10343.pdf,104-10331-10343,04/26/2018,Redact,CIA,07/28/1994,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,,,MEMO: RESULTS OF 25 JULY MEETING WITH MIKE GETSEY AND STEVE TILLEY RE JFK DATABASE EXTRACT:,1,CIA,JFK,3/12/18,JFK-M-16 : F3 : 2000.02.14.10:59:11:840044 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10343.pdf
2018/104-10331-10344.pdf,104-10331-10344,04/26/2018,Redact,CIA,1/1/92,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,MCDONALD. C/CIA HISTORY STAFF,D/DIR OF CONGRESS. AFFAIRS,(EST PUB DATE) MEMO: REQUEST FOR ACCESS TO HSCA RECORDS,2,CIA,JFK,3/12/18,JFK-M-16 : F1 : 2000.02.14.11:09:34:590044 :,2,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10344.pdf
2018/104-10331-10346.pdf,104-10331-10346,04/26/2018,Redact,CIA,6/3/97,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,C/HRG,BARRY HARRELSON,NOTE: THE FOLLOWING SUGGESTED RESPONSE TO OMB'S REQUEST,16,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.11:15:39:857054 :,16,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10346.pdf
2018/104-10331-10349.pdf,104-10331-10349,04/26/2018,Redact,CIA,8/9/93,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,,,CORRESPONDENCE BETWEEN CIA AND FBI,33,CIA,JFK,3/12/18,JFK-M-16 : F15 : 2000.02.14.12:10:51:483044 : UNIT INDEX,33,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10349.pdf
2018/104-10331-10351.pdf,104-10331-10351,04/26/2018,Redact,CIA,12/22/1997,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,MEMORANDUM FOR THE RECORD,,"MEMO: 1. PURSUANT TO ARRB ""REQUEST NO. CIA-16"", THE OFFICE OF",6,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.12:43:27:043054 :,6,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10351.pdf
2018/104-10331-10352.pdf,104-10331-10352,04/26/2018,Redact,CIA,2/12/98,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,LEE S. STRICKLAND,EDMUND COHEN,URGENT: SUPP. FILING FOR JFK BOARD,2,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.12:50:11:623054 :,2,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10352.pdf
2018/104-10331-10353.pdf,104-10331-10353,04/26/2018,Redact,CIA,04/16/1998,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,WITHHELD,J. BARRY HARRELSON,MEMO: ALTER: MAY MEETING ISSUE,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.13:17:04:340054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10353.pdf
